quarter,gdp,public_debt
2016-10-01,19032.58,19976827
2017-01-01,19237.435,19846420
2017-04-01,19379.232,19844554
2017-07-01,19617.288,20244900
2017-10-01,19937.963,20492747
2018-01-01,20242.215,21089643
2018-04-01,20552.653,21195070
2018-07-01,20742.723,21516058
2018-10-01,20909.853,21974096
2019-01-01,21115.309,22027880
2019-04-01,21329.877,22023283
2019-07-01,21540.325,22719402
2019-10-01,21747.394,23201380
2020-01-01,21561.139,23223813
2020-04-01,19520.114,26477241
